category,work,urn,text,context,lg_pos,trf_pos,odycy_pos,human_judgement,notes,lg_lemma,trf_lemma,odycy_lemma,lg_gender,trf_gender,odycy_gender,lg_case,trf_case,odycy_case,lg_tense,trf_tense,odycy_tense,lg_mood,trf_mood,odycy_mood,lg_voice,trf_voice,odycy_voice,lg_number,trf_number,odycy_number
tokenization_mismatch,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:12.365,,lg/trf: μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν .  |  odycy: μίστυλλόν τʼ ἄρα τἆ λλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν .,,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:14.430,,"lg/trf: μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,  |  odycy: μίστυλλόν τʼ ἄρα τἆ λλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
pos_all3_different,Argonautica,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:2.600,ἔσσυτʼ,ἡ δʼ ἰκέλη πτερόεντι μετήορος [[ἔσσυτʼ]] ὀιστῷ .,ADJ,VERB,ADP,trf,"ἔσσυτ(ο), aor/plpf mid of σεύω 'she darted' -> VERB. [high]",ἔσσυτʼ,ἔσσυτʼ,ἔσσυτʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Argonautica,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1079,ἤμαθʼ,"[[ἤμαθʼ]] ὁμοῦ νύκτας τε δυώδεκα , τοὺς δὲ καταῦθι",VERB,NOUN,ADP,trf,ἤματα (acc pl of ἦμαρ 'days') elided -> NOUN. [high],ἤμαθʼ,ἤμαθʼ,ἤμαθʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:3.162,πάροιθʼ,"δεῦρο [[πάροιθʼ]] ἐλθοῦσα φίλον τέκος ἵζευ ἐμεῖο ,",VERB,ADP,PART,trf,"πάροιθε governs implied gen (ἐμεῖο), 'in front of' -> ADP, confirmed. lg's VERB and odyCy's PART are both wrong; πάροιθε is a preposition here, not a particle. [high]",πάροιθʼ,πάροιθʼ,πάροιθʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:8.399,βάσκʼ,"[[βάσκʼ]] ἴθι Ἶρι ταχεῖα , πάλιν τρέπε μηδʼ ἔα ἄντην",ADJ,VERB,ADV,trf,"βάσκε, imperative of βάσκω 'go!' -> VERB. [high]",βάσκʼ,βάσκʼ,βάσκʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.275,ὄφρʼ,"ἀρρήκτους ἀλύτους , [[ὄφρʼ]] ἔμπεδον αὖθι μένοιεν .",ADV,SCONJ,CCONJ,trf,ὄφρα introducing purpose clause -> SCONJ. [high],ὄφρʼ,ὄφρʼ,ὄφρʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.259,λίγʼ,ἔνθʼ ἄλλαι Τρῳαὶ [[λίγʼ]] ἐκώκυον · αὐτὰρ ἐμὸν κῆρ,ADJ,ADV,ADP,trf,λίγα 'loudly' modifying ἐκώκυον -> ADV. [high],λίγʼ,λίγʼ,λίγʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Sack of Troy,urn:cts:greekLit:tlg0647.tlg001.perseus-grc2:535,αἵτʼ,[[αἵτʼ]] ἐπεὶ οὖν ἔκαμον πολυχανδέος ἔνδοθι σίμβλου,ADJ,PRON,CCONJ,trf (but see caveat),"Not a real 3-way disagreement: αἵτʼ is a single orthographic word in the source (confirmed in Perseus XML, no space) fusing the relative pronoun αἵ ('which') with the enclitic connective τε (elided to τʼ), the standard Homeric-style univerbation seen in ὅστε/οἵτε/ἥτε ('generalizing relative'). No single POS tag fully covers a fused pronoun+particle -- this is what UD calls a multi-word token (MWT), and none of these 3 models split MWTs. PRON (trf) is the more defensible single-tag choice since αἵ is the syntactic head, but 'trf correct' overstates it -- the honest answer is the token needs an MWT split, not a single POS. Corpus-wide check: 4 other instances of this same pronoun+τε univerbation (ἥτε x2, οἵτε x1, ἥντε x1, all also Sack of Troy/Triphiodorus) mostly resolve cleanly and consistently across all 3 models to PRON, lemma ὅστε -- this specific elided form (αἵτʼ) is the outlier where lemma resolution fails outright (stays as raw αἵτʼ) and POS diverges, likely because elision + this rare inflected form is underrepresented in training data. [high]",αἵτʼ,αἵτʼ,αἵτʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Sack of Troy,urn:cts:greekLit:tlg0647.tlg001.perseus-grc2:393,συμπαθέων,δεσμά τε [[συμπαθέων]] πλέκεται περὶ χερσὶ γυναικῶν,NOUN,ADJ,VERB,odycy,"συμπαθέων, participle of συμπαθέω agreeing w/ γυναικῶν -> VERB (participle), though ADJ (trf) also defensible if substantivized. [med] REVIEW",συμπαθέω,συμπαθέω,συμπαθάω,,,,,,,,,,,,,,,,,,
pos_all3_different,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:12.112,θαλλὸν,"γλαυκὸν Ἀθηναίῃ γλαυκώπιδι [[θαλλὸν]] ἐλαίης ,",ADJ,NOUN,VERB,trf,"θαλλός 'olive-shoot/branch', acc obj -> NOUN. [high]",θαλλός,θαλλός,θαλλὸς,,,,,,,,,,,,,,,,,,
pos_all3_different,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:31.272,ὅπων,"εἰς μίνα ἠριγένειαν , [[ὅπων]] Διὸς ὄμματα θέλξω ,",ADJ,PRON,NOUN,source-text error (POS undecidable either way),"Loeb reads ὅπως here, not ὅπων -- Perseus digital text has a ν/ς transcription error (same family as the accent/breathing corruption elsewhere in Dionysiaca, see PREPROCESSING.md). But even correcting to ὅπως, the POS/mood question doesn't fully resolve: ὅπως is genuinely ambiguous here between a final/purpose clause ('so that I might enchant', subjunctive) and a relative/manner clause ('by which [means] I shall enchant', indicative) -- and θέλξω's ending is morphologically identical for aorist subjunctive and future indicative, so the verb form can't disambiguate either. trf (Sub) and odycy (Ind/Fut) each latched onto one of two real, competing readings, not a right-vs-wrong split -- don't read this as trf's parse being corroborated. lg's Optative/3rd-sg is still clearly wrong under either reading. [med]",ὅπων,ὅπων,ὅπος,,,,,,,,,,,,,,,,,,
pos_all3_different,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:9.370,περιδάμνατʼ,ὣς τὸν ὑπὸ σπέος εὐρὺ κακὴ [[περιδάμνατʼ]] ἀνίη ·,ADJ,VERB,PART,trf,"περιδάμνατʼ = περιδάμνατο (elided before ἀνίη), unaugmented 3rd sg impf mid of περιδάμνημι, 'was overpowering' [high]",περιδάμνατʼ,περιδάμνατʼ,περιδάμνατʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:7.69,ὁμὴν,"οὐ μὲν ἄρʼ ἐκτελέσαντας [[ὁμὴν]] βιότοιο κέλευθον ,",VERB,ADJ,NOUN,trf,ὁμήν agrees w/ κέλευθον (fem acc) -> ADJ. [high],ὁμός,ὁμός,ὁμὴ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.336,ἄλγεʼ,"ἥ ῥʼ Ὀδυσῆʼ ἐλέησεν ἀλώμενον , [[ἄλγεʼ]] ἔχοντα ,",ADJ,NOUN,ADP,trf,ἄλγεα 'pains' obj of ἔχοντα -> NOUN. [high],ἄλγεʼς,ἄλγεʼ,ἄλγεʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:14.67,αὐτόθʼ,"τῷ κέ με πόλλʼ ὤνησεν ἄναξ , εἰ [[αὐτόθʼ]] ἐγήρα ·",ADJ,ADV,PART,trf,αὐτόθι 'on the spot' -> ADV. [high],αὐτόθʼ,αὐτόθʼ,αὐτόθʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Argonautica,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:4.21,μενοινάς,"φάρμακα πασσαμένη , Ἥρης δʼ ἁλίωσε [[μενοινάς]] ,",ADJ,NOUN,VERB,trf,μενοινάς 'plans/desires' obj of ἁλίωσε -> NOUN. [high],μενοινή,μενοινή,μενοινά,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.394,θάμβευς,"ὦ γέρον , ἵζʼ ἐπὶ δεῖπνον , ἀπεκλελάθεσθε δὲ [[θάμβευς]] ·",ADJ,VERB,NOUN,odycy (POS) / lg+trf (lemma),"θάμβευς (epic gen sg of θάμβος 'amazement', obj of ἀπεκλελάθεσθε) -> POS: NOUN, odycy correct, lg=ADJ/trf=VERB both wrong. LEMMA: the citation form is θάμβος (nom sg) -- lg and trf both correctly resolve to θάμβος despite their POS misses; odycy's 'lemma' θάμβευς is just the unlemmatized surface form echoed back, not a real lemma resolution. Split verdict: no single model gets both columns right on this token. [high]",θάμβος,θάμβος,θάμβευς,,,,,,,,,,,,,,,,,,
pos_all3_different,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:3.759,ʼ,"θαρσαλέῳ Πηλῆι καὶ ἀκαμάτῳ [[ʼ]] Αχιλῆι ,",NOUN,PUNCT,ADP,trf,"Stray apostrophe glyph isolated as its own token before Ἀχιλῆι -> PUNCT is the sane tag; underlying issue is a tokenization artifact (elision mark split off), not really a POS question. [high]",ʼ,ʼ,ʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:12.368,ἀλλʼ,"[[ἀλλʼ]] ὅτε δὴ σχεδὸν ἦα κιὼν νεὸς ἀμφιελίσσης ,",ADJ,CCONJ,ADV,trf,ἀλλά joining clauses -> CCONJ. [high],ἀλλʼ,ἀλλʼ,ἀλλʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.386,ἧος,[[ἧος]] ὃ Φαιήκεσσι φιληρέτμοισι μιγείη,VERB,ADV,PRON,trf,ἧος/ἕως temporal 'until/while' -- ideally SCONJ but no model offered it; trf's ADV closest given diachronic adverb->conjunction path. [med],ἕως,ἕως,ὅος,,,,,,,,,,,,,,,,,,
pos_all3_different,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:15.203,στρεπταὶ,ἦ τι μεταστρέψεις ; [[στρεπταὶ]] μέν τε φρένες ἐσθλῶν .,NOUN,ADJ,VERB,trf,στρεπταί 'changeable' agreeing w/ φρένες -> ADJ; odycy's lemma also garbled. [high],στρεπτός,στρεπτός,στρεπταὶ,,,,,,,,,,,,,,,,,,
pos_all3_different,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:7.107,ἀλλʼ,"[[ἀλλʼ]] ἕπετʼ Ἀργείοισι χολούμενος , εὖτε πάροιθεν",ADJ,CCONJ,ADV,trf,ἀλλά joining clauses -> CCONJ. [high],ἀλλʼ,ἀλλʼ,ἀλλʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:18.124,ἀριστώδινα,καὶ Σταφύλου βασιλῆος [[ἀριστώδινα]] γυναῖκα,VERB,ADJ,NOUN,trf,ἀριστώδινα epithet agreeing w/ γυναῖκα -> ADJ. [high],ἀριστώδιν,ἀριστώδιν,ἀριστώδινα,,,,,,,,,,,,,,,,,,
pos_all3_different,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:20.468,μάλʼ,ἀλλὰ [[μάλʼ]] ἐμμεμαώς · ὃ μὲν ἥπτετο χείρεσι γούνων,VERB,ADV,ADP,trf,μάλα 'very' modifying ἐμμεμαώς -> ADV. [high],μάλʼ,μάλʼ,μάλʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.28,ἀλλʼ,"[[ἀλλʼ]] εἴπʼ , ἤ σφωιν καταλύσομεν ὠκέας ἵππους ,",ADJ,ADV,PART,none,"ἀλλά here still functions as CCONJ ('but tell me...'); lg=ADJ, trf=ADV, odycy=PART are all wrong. [high]",ἀλλʼ,ἀλλʼ,ἀλλʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:14.212,ἔστʼ,οὐκ [[ἔστʼ]] οὐδὲ ἔοικε τεὸν ἔπος ἀρνήσασθαι ·,VERB,AUX,PART,trf,ἐστί copula -> AUX under UD-style convention (older AGDT-style tagsets would call it VERB instead). [med],ἔστʼ,ἔστʼ,ἔστʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:12.521,δεῖμʼ,ἀλλʼ οὐ [[δεῖμʼ]] ἀλεγεινὸν ὑπὸ Τρώων φρένας ἷξε,VERB,NOUN,PART,trf,"δεῖμα 'fear, terror', subj of ἷξε -> NOUN. [high]",δεῖμʼ,δεῖμʼ,δεῖμʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:18.98,εἰλαπίνης,[[εἰλαπίνης]] δρηστῆρες · ἐδαιτρεύοντο δὲ ταῦροι,ADJ,NOUN,ADV,trf,"εἰλαπίνης gen 'of the banquet', governs δρηστῆρες -> NOUN. [high]",εἰλαπίνη,εἰλαπίνη,εἰλαπίνης,,,,,,,,,,,,,,,,,,
pos_all3_different,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:17.186,ὄφρʼ,[[ὄφρʼ]] ἂν ἐγὼν Ἀχιλῆος ἀμύμονος ἔντεα δύω,ADV,SCONJ,CCONJ,trf,ὄφρα purpose clause -> SCONJ. [high],ὄφρʼ,ὄφρʼ,ὄφρʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.466,λίπʼ,"αὐτὰρ ἐπεὶ λοῦσέν τε καὶ ἔχρισεν [[λίπʼ]] ἐλαίῳ ,",NOUN,ADV,ADJ,trf,λίπα 'richly' modifying ἔχρισεν -> ADV. [high],λίπʼ,λίπʼ,λίπʼ,,,,,,,,,,,,,,,,,,
pos_all3_different,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:16.19,ἔπʼ,"μοῦνον τηλύγετον , τῷ [[ἔπʼ]] ἄλγεα πολλὰ μογήσῃ ,",ADV,ADP,PART,trf,"ἐπί in anastrophe governing dat τῷ, 'for/on account of' -> ADP. [high]",ἔπʼ,ἔπʼ,ἔπʼ,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Argonautica,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:2.688,ἠῷος,"[[ἠῷος]] μετιών · τὰ δὲ ῥέξομεν οἷα πάρεστιν ,",VERB,NOUN,NOUN,trf+odycy,"ἠῷος substantivized 'at dawn' -> NOUN defensible though ADJ also arguable (predicate use); no model chose ADV either. CWF: I'd say predicate adjective, used adverbially. Noun seems like a weird call to me but I guess so?",ἠῷος,ἠῷος,ἠῷς,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Argonautica,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:2.596,αἱ,Πληγάσι δινήεις εἶχεν ῥόος · [[αἱ]] δʼ ἑκάτερθεν,DET,PRON,PRON,trf+odycy,"αἱ standing alone as subject 'they' (not modifying a noun) -> PRON, not DET. [high]",ὁ,ὁ,ὁ,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:10.413,τοὶ,[[τοὶ]] γὰρ ἐγώ τοι ταῦτα μάλʼ ἀτρεκέως καταλέξω .,PRON,PART,PART,trf+odycy,τοι enclitic emphatic particle -> PART; odycy's lemma τοι is also more accurate than trf's ὁ. [high],ὁ,ὁ,τοι,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:19.96,φασʼ,ἀνδρῶν ἠδὲ θεῶν [[φασʼ]] ἔμμεναι · ἀλλʼ ἄρα καὶ τὸν,ADJ,VERB,VERB,trf+odycy,φασί 'they say' -> VERB. [high],φασʼ,φασʼ,φασʼ,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:21.431,καὶ,ἦ [[καὶ]] ἐπʼ ὀφρύσι νεῦσεν · ὁ δʼ ἀμφέθετο ξίφος ὀξὺ,ADV,CCONJ,CCONJ,trf+odycy,καί joining ἦ ... νεῦσεν -> CCONJ. [high],καί,καί,καί,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:18.265,ἁλώω,"τῷ οὐκ οἶδʼ ἤ κέν μʼ ἀνέσει θεός , ἦ κεν [[ἁλώω]]",NOUN,VERB,VERB,trf+odycy,"ἁλώω 'I may be captured', aor subj of ἁλίσκομαι -> VERB. [high]",ἁλίσκομαι,ἁλίσκομαι,ἁλώω,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Sack of Troy,urn:cts:greekLit:tlg0647.tlg001.perseus-grc2:57,καὶ,ἤδη [[καὶ]] βουλῇσι θεῆς ὑποεργὸς Ἐπειὸς,CCONJ,ADV,ADV,trf+odycy,καί 'also/too' with no coordinated clause -> ADV. [med],καί,καί,καί,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Sack of Troy,urn:cts:greekLit:tlg0647.tlg001.perseus-grc2:199,ἀκμῆτες,ἀτλήτους ἀνέχοντο πόνους [[ἀκμῆτες]] Ἀχαιοί .,ADJ,NOUN,NOUN,lg,"ἀκμῆτες 'unwearied' directly modifies Ἀχαιοί -> ADJ, not substantivized NOUN. lg is right here, trf+odycy wrong. [high]",ἀκμής,ἀκμής,ἀκμής,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:14.355,ἡ,[[ἡ]] δὲ δαφοινήεντος ἐφιμείρουσα κυδοιμοῦ,DET,PRON,PRON,trf+odycy,ἡ standing alone as subject 'she' -> PRON. [high],ὁ,ὁ,ὁ,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:1.433,ἠχοῦς,χερσὶν ἀδουπήτοισιν ἐθήμονος ἄμμορος [[ἠχοῦς]],ADJ,NOUN,NOUN,trf+odycy (POS) / lg+trf (lemma),"ἠχοῦς, gen sg of ἠχώ 'sound/echo' (contract ω-stem noun), obj of ἄμμορος -> POS: NOUN, trf+odycy correct, lg=ADJ wrong. LEMMA: citation form is ἠχώ (nom sg) -- lg and trf both correctly resolve it despite lg's wrong POS; odycy's 'lemma' ἠχοῦς is the unresolved raw genitive form, not a real resolution. Same failure shape as row 28 (θάμβευς) -- second instance of odycy getting POS right but failing lemma specifically on an irregular/contract noun where genitive looks unlike the nominative citation form. Not the elision bug (this token isn't elided). [high]",ἠχώ,ἠχώ,ἠχοῦς,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:1.561,ἀλλʼ,"γείνατʼ ἀνήρ , [[ἀλλʼ]] αὐτὸς Ἄρης ἀκόρητος ὁμοκλῆς ·",ADJ,CCONJ,CCONJ,trf+odycy,ἀλλά adversative joining clauses -> CCONJ. [high],ἀλλʼ,ἀλλʼ,ἀλλʼ,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:4.303,οὔτι,"ὦ φίλοι , [[οὔτι]] ἔοικε δαήμονος ἄνδρας ἀϋτῆς",ADJ,ADV,ADV,trf+odycy,οὔτι 'not at all' -> ADV. [high],οὔτι,οὔτι,οὔτι,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:25.183,ἀκαμπέι,ἄρσενα θῆρα δάμασσεν [[ἀκαμπέι]] θήλεϊ δεσμῷ ·,NOUN,ADJ,ADJ,trf+odycy,ἀκαμπέι modifies θήλεϊ δεσμῷ -> ADJ. [high],ἀκαμπής,ἀκαμπής,ἀκαμπής,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:35.53,πόρες,"ἀμφαφόων ἐμὀν ἕλκος , ὅ μοι [[πόρες]] . ἐρρέτω αἰχμή ,",NOUN,VERB,VERB,trf+odycy,"πόρες 'you gave', aor of πόρω -> VERB. Another example of lg getting lemma right and POS wrong, odycy getting lemma wrong and POS right, and only trf correct in both fields. [high]",πόρες,πόρες,πόρον,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Posthomerica,urn:cts:greekLit:tlg2046.tlg001.perseus-grc2:5.116,κουλεῷ,[[κουλεῷ]] ᾧ ἔπι κώπη ἀρηραμένη ἐλέφαντος,ADJ,NOUN,NOUN,trf+odycy,κουλεῷ (Ionic κολεόν) 'sheath' -> NOUN. Only trf has both POS and lemma correct. [high],κολεόν,κολεόν,κουλεῷ,,,,,,,,,,,,,,,,,,
pos_2v1_lg_odd,Dionysiaca,urn:cts:greekLit:tlg2045.tlg001.perseus-grc2:48.927,παιδοκόμῳ,[[παιδοκόμῳ]] κούφιζεν ἀήθεϊ κοῦρον ἀγοστῷ .,NOUN,ADJ,ADJ,trf+odycy,παιδοκόμῳ modifies ἀγοστῷ -> ADJ. [high],παιδοκόμος,παιδοκόμος,παιδοκόμος,,,,,,,,,,,,,,,,,,
